[2026-06-13 19:29:27] INFO     | ================================================================================
[2026-06-13 19:29:27] INFO     | 🚀 PyPI Package Update Checker (Multiprocessing Enabled)
[2026-06-13 19:29:27] INFO     | ================================================================================
[2026-06-13 19:29:27] INFO     | 📁 No existing state file. Starting fresh.
[2026-06-13 19:29:36] INFO     | ✓ Found 500 installed packages
[2026-06-13 19:29:36] INFO     | 📊 Status: 0 checked, 500 pending
[2026-06-13 19:29:36] INFO     | 🔄 Spawning 4 workers to query PyPI...
[2026-06-13 19:31:17] DEBUG    | ✓ up-to-date         | oauthlib                       3.3.1 → 3.3.1
[2026-06-13 19:31:17] DEBUG    | 🔄 upgradable         | sentence-transformers          5.4.1 → 5.5.1
[2026-06-13 19:31:17] DEBUG    | ✓ up-to-date         | googleapis-common-protos       1.75.0 → 1.75.0
[2026-06-13 19:31:19] DEBUG    | ✓ up-to-date         | anywidget                      0.11.0 → 0.11.0
[2026-06-13 19:31:19] DEBUG    | 🔄 upgradable         | openai                         2.37.0 → 2.41.1
[2026-06-13 19:31:19] DEBUG    | ✓ up-to-date         | sentencepiece                  0.2.2 → 0.2.1
[2026-06-13 19:31:21] DEBUG    | ✓ up-to-date         | openapi-pydantic               0.5.1 → 0.5.1
[2026-06-13 19:31:21] DEBUG    | ✓ up-to-date         | arabic-reshaper                3.0.1 → 3.0.1
[2026-06-13 19:31:24] DEBUG    | ✓ up-to-date         | argon2-cffi                    25.1.0 → 25.1.0
[2026-06-13 19:31:24] DEBUG    | ✓ up-to-date         | setuptools                     82.0.1 → 82.0.1
[2026-06-13 19:31:25] DEBUG    | ✓ up-to-date         | greenlet                       3.5.1 → 3.5.1
[2026-06-13 19:31:25] DEBUG    | 🔄 upgradable         | argon2-cffi-bindings           25.0.1 → 25.1.0
[2026-06-13 19:31:26] DEBUG    | ✓ up-to-date         | griffe                         2.0.2 → 2.0.2
[2026-06-13 19:31:27] DEBUG    | ✓ up-to-date         | setuptools-rust                1.12.1 → 1.12.1
[2026-06-13 19:31:27] DEBUG    | ✓ up-to-date         | assertpy                       1.1 → 1.1
[2026-06-13 19:31:27] DEBUG    | ✓ up-to-date         | griffecli                      2.0.2 → 2.0.2
[2026-06-13 19:31:29] DEBUG    | ✓ up-to-date         | six                            1.17.0 → 1.17.0
[2026-06-13 19:31:29] DEBUG    | ✓ up-to-date         | ast-comments                   1.3.0 → 1.3.0
[2026-06-13 19:31:29] DEBUG    | ✓ up-to-date         | opencv-contrib-python          4.13.0.92 → 4.13.0.92
[2026-06-13 19:31:29] DEBUG    | ✓ up-to-date         | griffelib                      2.0.2 → 2.0.2
[2026-06-13 19:31:30] DEBUG    | ✓ up-to-date         | smmap                          5.0.3 → 5.0.3
[2026-06-13 19:31:36] DEBUG    | 🔄 upgradable         | asteval                        1.0.8 → 1.0.9
[2026-06-13 19:31:42] DEBUG    | ✓ up-to-date         | snaptime                       0.2.4 → 0.2.4
[2026-06-13 19:31:44] DEBUG    | ✓ up-to-date         | sniffio                        1.3.1 → 1.3.1
[2026-06-13 19:31:47] DEBUG    | ✓ up-to-date         | opencv-python                  4.13.0.92 → 4.13.0.92
[2026-06-13 19:31:47] DEBUG    | ✓ up-to-date         | astmonkey                      0.3.6 → 0.3.6
[2026-06-13 19:31:50] DEBUG    | ✓ up-to-date         | openstep_plist                 0.5.2 → 0.5.2
[2026-06-13 19:31:59] DEBUG    | 🔄 upgradable         | opentelemetry-exporter-otlp-proto-http 1.41.1 → 1.42.1
[2026-06-13 19:32:04] DEBUG    | ✓ up-to-date         | outcome                        1.3.0.post0 → 1.3.0.post0
[2026-06-13 19:32:05] DEBUG    | ✓ up-to-date         | sortedcontainers               2.4.0 → 2.4.0
[2026-06-13 19:32:17] DEBUG    | ✓ up-to-date         | astor                          0.8.1 → 0.8.1
[2026-06-13 19:32:19] DEBUG    | ✓ up-to-date         | packaging                      26.2 → 26.2
[2026-06-13 19:32:19] DEBUG    | 🔄 upgradable         | soupsieve                      2.8.3 → 2.8.4
[2026-06-13 19:32:33] WARNING  | ⚠ Error: astpretty - HTTPSConnectionPool(host='pypi.org', port=443): Read timed out.
[2026-06-13 19:32:35] DEBUG    | 🔄 upgradable         | pathspec                       0.9.0 → 1.1.1
[2026-06-13 19:32:42] DEBUG    | ✓ up-to-date         | grpcio                         1.81.1 → 1.81.1
[2026-06-13 19:32:45] DEBUG    | 🔄 upgradable         | SpeechRecognition              3.16.0 → 3.16.1
[2026-06-13 19:32:46] DEBUG    | ✓ up-to-date         | astroid                        4.1.2 → 4.1.2
[2026-06-13 19:32:47] DEBUG    | ✓ up-to-date         | h11                            0.16.0 → 0.16.0
[2026-06-13 19:32:48] DEBUG    | ✓ up-to-date         | spinners                       0.0.24 → 0.0.24
[2026-06-13 19:32:50] DEBUG    | ✓ up-to-date         | h2                             4.3.0 → 4.3.0
[2026-06-13 19:32:56] DEBUG    | ✓ up-to-date         | halo                           0.0.31 → 0.0.31
[2026-06-13 19:33:07] DEBUG    | ✓ up-to-date         | hazm                           0.12.1 → 0.12.1
[2026-06-13 19:33:09] DEBUG    | ✓ up-to-date         | patool                         4.0.5 → 4.0.5
[2026-06-13 19:33:12] DEBUG    | ✓ up-to-date         | hexdump                        3.3 → 3.3
[2026-06-13 19:33:12] DEBUG    | ✓ up-to-date         | pdfminer.six                   20260107 → 20260107
[2026-06-13 19:33:21] DEBUG    | ✓ up-to-date         | asttokens                      3.0.1 → 3.0.1
[2026-06-13 19:33:24] DEBUG    | ✓ up-to-date         | hidapi-cffi                    0.2.2 → 0.2.2
[2026-06-13 19:33:31] DEBUG    | 🔄 upgradable         | SQLAlchemy                     2.0.49 → 2.0.50
[2026-06-13 19:33:38] DEBUG    | ✓ up-to-date         | highwayhash-cffi               0.1.6 → 0.1.6
[2026-06-13 19:33:39] DEBUG    | ✓ up-to-date         | pdoc                           16.0.0 → 16.0.0
[2026-06-13 19:33:40] DEBUG    | ✓ up-to-date         | sqlite-fts4                    1.0.3 → 1.0.3
[2026-06-13 19:33:49] WARNING  | ⚠ Error: astunparse - HTTPSConnectionPool(host='pypi.org', port=443): Read timed out.
[2026-06-13 19:33:52] DEBUG    | ✓ up-to-date         | sqlite-migrate                 0.1b0 → 0.1b0
[2026-06-13 19:33:55] DEBUG    | ✓ up-to-date         | pendulum                       3.2.0 → 3.2.0
[2026-06-13 19:33:55] DEBUG    | 🔄 upgradable         | html-to-markdown               1.16.0 → 3.6.2
[2026-06-13 19:33:55] DEBUG    | ✓ up-to-date         | persian-dict                   1.0.0 → 1.0.0
[2026-06-13 19:33:56] DEBUG    | ✓ up-to-date         | html2md                        0.1.7 → 0.1.7
[2026-06-13 19:33:57] DEBUG    | ✓ up-to-date         | html2text                      2025.4.15 → 2025.4.15
[2026-06-13 19:33:59] DEBUG    | ✓ up-to-date         | htmldate                       1.10.0 → 1.10.0
[2026-06-13 19:34:00] DEBUG    | ✓ up-to-date         | sqlite-utils                   3.39 → 3.39
[2026-06-13 19:34:01] DEBUG    | ✓ up-to-date         | htmlmin                        0.1.12 → 0.1.12
[2026-06-13 19:34:01] DEBUG    | ✓ up-to-date         | attrs                          26.1.0 → 26.1.0
